Plane	Strip	Shift	Resolution
=====================================================
0	0	275.613	0.17922
0	1	275.357	0.173657
0	2	275.276	0.183521
0	3	275.506	0.173289
0	4	275.405	0.170364
0	5	275.372	0.189873
0	6	275.408	0.176139
0	7	275.453	0.17882
0	8	275.353	0.160983
0	9	275.355	0.182758
0	10	275.29	0.178474
0	11	275.267	0.165186
0	12	275.248	0.179575
0	13	275.295	0.163805
0	14	275.28	0.176943
0	15	275.479	0.16812
0	16	275.479	0.175366
0	17	275.511	0.177726
0	18	275.291	0.15843
0	19	275.333	0.165194
0	20	275.406	0.184921
0	21	275.344	0.153014
0	22	275.44	0.174487
0	23	275.567	0.138865
0	24	275.505	0.167202
0	25	275.25	0.152569
0	26	275.305	0.159654
0	27	275.434	0.173403
0	28	275.181	0.162786
0	29	275.292	0.170046
0	30	275.214	0.163162
0	31	275.374	0.173607
0	32	275.119	0.156757
0	33	275.296	0.173128
0	34	275.131	0.182182
0	35	275.106	0.165118
0	36	274.993	0.142839
0	37	275.172	0.156737
0	38	275.122	0.17194
0	39	275.23	0.177168
0	40	275.411	0.257914
0	41	275.229	0.167181
0	42	275.207	0.165912
0	43	275.335	0.198917
0	44	275.228	0.185515
0	45	275.303	0.177398
0	46	275.496	0.177132
0	47	275.607	0.198111
1	0	275.68	0.190024
1	1	275.576	0.182136
1	2	275.643	0.186368
1	3	275.624	0.176481
1	4	275.576	0.171799
1	5	275.781	0.189261
1	6	275.575	0.157289
1	7	275.523	0.15222
1	8	275.682	0.17323
1	9	275.468	0.161858
1	10	275.277	0.153481
1	11	275.564	0.159759
1	12	275.477	0.14466
1	13	275.56	0.158751
1	14	275.586	0.174574
1	15	275.818	0.166337
1	16	275.832	0.167398
1	17	276.007	0.179773
1	18	275.695	0.165593
1	19	275.768	0.163848
1	20	275.713	0.176058
1	21	275.764	0.176187
1	22	275.837	0.155195
1	23	275.886	0.164046
1	24	275.917	0.159206
1	25	275.828	0.15468
1	26	275.711	0.153116
1	27	275.918	0.150342
1	28	275.698	0.144751
1	29	275.802	0.165417
1	30	275.794	0.159331
1	31	275.889	0.158454
1	32	275.821	0.152541
1	33	275.671	0.160967
1	34	275.615	0.147612
1	35	275.761	0.160193
1	36	275.73	0.141109
