Plane	Strip	Shift
=====================================================
0	0	0.0125
0	1	-0.0875
0	2	-0.1125
0	3	0.1375
0	4	0.0875
0	5	-0.0375
0	6	-0.0625
0	7	0.0125
0	8	-0.1375
0	9	0.0875
0	10	-0.0375
0	11	-0.0125
0	12	-0.0375
0	13	0.2125
0	14	0.0375
0	15	0.0125
0	16	0.0125
0	17	0.0125
0	18	-0.2125
0	19	-0.1375
0	20	-0.3125
0	21	-0.1375
0	22	-0.1125
0	23	0.1625
0	24	-0.1875
0	25	-0.5125
0	26	-0.3125
0	27	-0.1125
0	28	-0.5375
0	29	-0.3875
0	30	-0.6875
0	31	-0.4125
0	32	-0.7375
0	33	-0.2625
0	34	-0.5625
0	35	-0.5125
0	36	-0.6125
0	37	-0.3625
0	38	-0.6125
0	39	-0.5375
0	40	-0.5125
0	41	-0.5125
0	42	-0.5125
0	43	-0.4625
0	44	-0.6875
0	45	-0.3125
0	46	-0.2875
0	47	-0.4125
1	0	-0.2375
1	1	-0.3125
1	2	-0.2625
1	3	-0.0875
1	4	-0.1625
1	5	-0.0375
1	6	-0.2125
1	7	-0.1375
1	8	-0.0125
1	9	-0.0375
1	10	-0.3125
1	11	0.0375
1	12	-0.2375
1	13	0.0125
1	14	-0.1375
1	15	0.1125
1	16	0.0375
1	17	0.2625
1	18	-0.1875
1	19	0.0875
1	20	-0.0625
1	21	-0.0875
1	22	-0.0625
1	23	-0.1125
1	24	-0.1875
1	25	-0.2875
1	26	-0.1875
1	27	0.0875
1	28	-0.2375
1	29	-0.1375
1	30	-0.2375
1	31	-0.1625
1	32	-0.3625
1	33	-0.1875
1	34	-0.3125
1	35	-0.0375
1	36	-0.1375
1	37	-0.0125
1	38	-0.1375
1	39	0.0125
1	40	-0.2125
1	41	-0.0625
1	42	-0.2375
1	43	-0.1875
1	44	-0.4625
1	45	-0.1625
1	46	-0.1625
1	47	-0.2125
2	0	-4.5125
2	1	-4.5625
2	2	-4.6625
2	3	-4.3625
2	4	-4.5125
2	5	-4.5625
2	6	-4.8375
2	7	-4.6125
2	8	-4.9625
2	9	-4.4375
2	10	-4.7625
2	11	-4.6125
2	12	-4.6125
2	13	-4.5125
2	14	-4.7375
2	15	-4.5875
2	16	-4.7625
2	17	-4.5625
2	18	-4.6125
2	19	-4.6125
2	20	-4.8125
2	21	-4.5125
2	22	-4.5875
2	23	-4.6375
2	24	-4.0125
2	25	-4.1125
2	26	-3.9875
2	27	-3.9375
2	28	-4.0875
2	29	-3.9125
2	30	-4.2625
2	31	-4.1125
2	32	-4.2875
2	33	-4.1125
2	34	-4.2875
2	35	-4.1625
2	36	-4.2875
2	37	-3.9625
2	38	-4.1625
2	39	-4.0625
2	40	-4.1375
2	41	-4.0125
2	42	-4.2625
2	43	-4.0875
2	44	-4.3875
2	45	-4.1125
2	46	-4.0125
2	47	-4.0625
3	0	-13.0375
3	1	-13.0625
3	2	-13.3625
3	3	-12.8375
3	4	-12.9875
3	5	-13.1125
3	6	-13.3375
3	7	-13.0875
3	8	-13.4625
3	9	-12.9875
3	10	-13.3625
3	11	-13.3625
3	12	-13.4875
3	13	-13.0375
3	14	-13.0125
3	15	-13.2125
3	16	-13.1625
3	17	-12.8875
3	18	-13.3125
3	19	-13.0125
3	20	-13.1875
3	21	-13.2375
3	22	-13.1875
3	23	-13.0375
3	24	-13.1375
3	25	-13.2875
3	26	-13.2375
3	27	-13.0375
3	28	-13.2625
3	29	-13.0375
3	30	-13.4125
3	31	-13.2375
3	32	-13.2625
3	33	-13.2125
3	34	-13.4625
3	35	-13.2875
3	36	-13.4125
3	37	-13.0875
3	38	-13.2375
3	39	-13.1875
3	40	-13.3875
3	41	-13.2625
3	42	-13.2125
3	43	-13.0625
3	44	-13.5625
3	45	-13.1125
3	46	-13.2875
3	47	-13.4375
4	0	-12.8625
4	1	-12.9625
4	2	-12.9875
4	3	-12.8125
4	4	-12.9875
4	5	-12.9125
4	6	-13.0875
4	7	-12.8375
4	8	-13.1625
4	9	-13.0125
4	10	-13.2125
4	11	-12.9375
4	12	-13.2375
4	13	-12.8125
4	14	-12.9375
4	15	-12.9375
4	16	-12.9125
4	17	-12.5875
4	18	-12.9625
4	19	-12.7375
4	20	-12.9125
4	21	-12.7875
4	22	-12.6625
4	23	-12.7125
4	24	-13.1625
4	25	-13.1875
4	26	-13.2375
4	27	-12.9625
4	28	-13.2125
4	29	-12.9875
4	30	-13.2875
4	31	-13.1875
4	32	-13.1375
4	33	-13.0875
4	34	-13.2625
4	35	-12.9875
4	36	-13.2125
4	37	-12.9125
4	38	-13.1125
4	39	-12.8875
4	40	-12.9625
4	41	-12.7375
4	42	-13.0375
4	43	-12.9625
4	44	-13.1125
4	45	-12.8875
4	46	-13.0625
4	47	-12.8625
5	0	0.0375
5	1	0.1125
5	2	0.1875
5	3	-0.2375
5	4	0.0625
5	5	0.0625
5	6	-0.0125
5	7	0.0125
5	8	0.0875
5	9	-0.0125
5	10	0.1625
5	11	-0.1625
5	12	0.1875
5	13	-0.0875
5	14	0.0875
5	15	-0.2375
5	16	-0.0625
5	17	-0.2125
5	18	0.0875
5	19	-0.0125
5	20	0.0125
5	21	0.0625
5	22	-0.0125
5	23	0.0125
5	24	-0.0125
5	25	0.0875
5	26	0.1125
5	27	-0.2125
5	28	0.0125
5	29	-0.0625
5	30	0.2375
5	31	-0.0125
5	32	0.1875
5	33	0.0125
5	34	0.1875
5	35	0.0125
5	36	0.0875
5	37	-0.1375
5	38	-0.0375
5	39	-0.1375
5	40	0.0875
5	41	-0.0625
5	42	0.1375
5	43	0.0625
5	44	0.3125
5	45	0.1875
5	46	-0.0125
5	47	0.1375
6	0	-0.0375
6	1	-0.0375
6	2	0.1375
6	3	-0.2625
6	4	-0.1125
6	5	-0.0375
6	6	0.0375
6	7	-0.1625
6	8	0.1125
6	9	0.0375
6	10	0.0625
6	11	0.0375
6	12	0.1625
6	13	-0.0875
6	14	0.0125
6	15	-0.1625
6	16	-0.2125
6	17	-0.3875
6	18	0.0375
6	19	-0.1375
6	20	-0.0125
6	21	-0.0625
6	22	-0.1625
6	23	-0.1375
6	24	0.1125
6	25	0.1625
6	26	-0.0875
6	27	0.0125
6	28	0.2125
6	29	-0.1125
6	30	0.2875
6	31	0.1375
6	32	0.0625
6	33	-0.0125
6	34	0.0875
6	35	-0.1125
6	36	0.0875
6	37	-0.1875
6	38	0.2875
6	39	0.0125
6	40	0.2625
6	41	0.2375
6	42	0.0375
6	43	0.0625
6	44	0.3375
6	45	-0.0625
6	46	-0.0375
6	47	0.0875
7	0	-4.2375
7	1	-4.0875
7	2	-4.3875
7	3	-4.4625
7	4	-4.2125
7	5	-4.4875
7	6	-4.0625
7	7	-4.3125
7	8	-4.2375
7	9	-4.1875
7	10	-4.1125
7	11	-4.5125
7	12	-4.3875
7	13	-4.2875
7	14	-4.2125
7	15	-4.5375
7	16	-4.0625
7	17	-4.3125
7	18	-4.1375
7	19	-4.1375
7	20	-3.8875
7	21	-4.3375
7	22	-4.1125
7	23	-4.1125
7	24	-4.0375
7	25	-3.9625
7	26	-4.0125
7	27	-4.3125
7	28	-4.0375
7	29	-4.1125
7	30	-4.0375
7	31	-4.1375
7	32	-3.8375
7	33	-3.9875
7	34	-3.7375
7	35	-4.0875
7	36	-3.9875
7	37	-4.3875
7	38	-4.0375
7	39	-4.1125
7	40	-4.0375
7	41	-4.2625
7	42	-3.8625
7	43	-4.1375
7	44	-3.7625
7	45	-3.9375
7	46	-4.1375
7	47	-4.0875
8	0	-12.7875
8	1	-12.9375
8	2	-12.7625
8	3	-13.0625
8	4	-12.9375
8	5	-12.8875
8	6	-12.8625
